param:,tech:,inv,var,fix,f,capa,eff,em,yr,:=
,coal,2487500000,2750,77000000,9214,39.9,39.09,0.343,40,
,ng,1812500000,3125,0,40062,44.3,47.21,0.202,40,
,oil,1562500000,2750,0,68211,1.341,47.21,0.259,40,
,nuke,2374675000,0,0,6110,20,0,0,40,
,pumped,750000000,0,0,0,5,0,0,40,
,bio,1812500000,0,0,0,0.3,19.52,0,40,
,WT,1644000000,10000,0,0,17.7,0,0,25,
,solar,948000000,0,16800000,0,33.5,0,0,20,
,waste,1375000000,0,0,0,1.5,11.07,0,30,
,river,1200000000,0,0,0,0,0,0,50,
,FC,1000000000,5000,0,40062,0.746,47,0,30,;
,,,,,,,,,,
param,annualD,:=,579.5,;,,,,,,
param,waste_limit,:=,10235200.43,;,,,,,,
param,bio_limit,:=,1203739.071,;,,,,,,
param,discount,:=,0.04,;,,,,,,
param,fc_limit,:=,1120557.903,;,,,,,,
param,pump_str,:=,55916,;,,,,,,
param,average_wind_capacity,:=,962.5,;,,,,,,
param,average_PV_capacity,:=,1488,;,,,,,,
param,waste_min,:=,557.229585,;,,,,,,
param,waste_max,:=,1401.27,;,,,,,,
param,bio_min,:=,12.183084,;,,,,,,
param,bio_max,:=,199.612208,;,,,,,,
param,fc_min,:=,79.457404,;,,,,,,
param,fc_max,:=,154.488024,;,,,,,,
param,coal_ratio,:=,1,;,,,,,,
param,pumped_ratio,:=,4,;,,,,,,
param,over,:=,0.005,;,,,,,,
param,em_limit,:=,237000000,;,,,,,,
,,,,,,,,,,
param:,T:,D,PV,wind,nuclear,:=,,,,
,1,56391,0.00016,288.334716,20124.75,,,,,
,2,54439,0,275.720663,20124.25,,,,,
,3,52682,0.00008,253.380787,20123.69,,,,,
,4,51454,0.00028,241.986751,20125.07,,,,,
,5,50630,0.0003,248.189575,20123.57,,,,,
,6,50263,0.00008,243.799804,20122.7,,,,,
,7,49651,0.052838,245.877115,20123,,,,,
,8,47536,1.205213,231.518,20123.13,,,,,
,9,44500,72.583122,216.615121,20124.84,,,,,
,10,42500,256.882045,213.978558,20126.31,,,,,
,11,42900,428.59818,203.026913,20127.26,,,,,
,12,43100,549.455783,213.882649,20129.59,,,,,
,13,42800,651.598825,197.878154,20131.55,,,,,
,14,42900,634.220027,203.279164,20131.09,,,,,
,15,42700,499.556014,213.817004,20131.55,,,,,
,16,42800,336.702398,217.087285,20134.45,,,,,
,17,43600,107.097433,243.606309,20132.9,,,,,
,18,46300,4.990712,253.374131,20130.13,,,,,
,19,48434,0.047898,282.502584,20129.6,,,,,
,20,48544,0.045818,329.523334,20128.84,,,,,
,21,48548,0,327.062957,20127.92,,,,,
